"","uni","job_title","category","cycle"
"1","Massachusetts Institute of Technology (MA / USA). Senior Lecturer in Spanish (5 years). Spanish. September 1"," 2022. website: https://academicjobsonline.org/ajo/jobs/21836","Assistant Professor (TT) - Unspecified","2021-2022"
"2","University of California"," Santa Barbara. Lecturer","Lecturer","2021-2022"
"3","University of Minnesota (MN/USA). Visiting Assistant Professor. (Early Modern and/or Contemporary Iberia). June 20"," 2022. https://hr.myu.umn.edu/jobs/ext/348437","Assistant Professor (TT) - Unspecified","2021-2022"
"4","Loyola University Maryland (MD/USA). Visiting Assistant Professor of Spanish. May 23"," 2022","Other","2021-2022"
"5","University of Indianapolis (IN / USA). TT Assistant Professor of Spanish. Spanish. https://uindy.hyrell.com/UI/Views/Applicant/VirtualStepPositionDetails.aspx?enc=wNcSyB2j8jVQfA2cJTWegDeKGFvynWyO-JrdR7KPuI0=&tzi=Eastern%20Standard%20Time",NA,"Other","2021-2022"
"6","Massachusetts Institute of Technology (MA / USA). Lecturer in Spanish (one year). Spanish. March 31"," 2022. https://academicjobsonline.org/ajo/jobs/21285","Assistant Professor (TT) - Unspecified","2021-2022"
"7","Cal Poly Humboldt (Formerly Humboldt State University | Arcata"," CA) TT Assistant Professor of Bilingual Studies. First application review date: February 15","Assistant Professor (TT) - Unspecified","2021-2022"
"8","University of Arkansas (Fayetteville"," AR) - TT Assistant Professor of Spanish (Applied Spanish Linguistics/SLA). Deadline: February 6th","Assistant Professor (TT) - Linguistics","2021-2022"
"9","Indiana University"," Bloomington (Bloomington","Other","2021-2022"
"10","Colorado Mesa University (Grand Junction"," CO) - **2 POSITIONS** (TT? Dice Full-Time) Assistant Professors of Spanish (One in translation/interpretation) Deadline: Priority Januart 21","Assistant Professor (TT) - Unspecified","2021-2022"
"11","Maryville College (Maryville"," TN) - TT Assistant Professor of Spanish (Linguistics","Assistant Professor (TT) - Linguistics","2021-2022"
"12","New Mexico Highlands University (Las Vegas"," NM) - TT Assistant/Associate Professor of Spanish Linguistics. Deadline: Open Until Filled","Assistant Professor (TT) - Linguistics","2021-2022"
"13","Syracuse University (Syracuse"," NY) - TT Assistant Professor of Latinx Literature and Culture. Deadline: Priority January 5th","Assistant Professor (TT) - Literature","2021-2022"
"14","Queens College CUNY (New York"," NY) - TT Assistant Professor of Hispanic Linguistics. Deadline: Open Until Filled","Assistant Professor (TT) - Linguistics","2021-2022"
"15","  UC San Diego (San Diego"," CA) - Associate Teaching Professor of Spanish as a Second Language and Spanish for Heritage Speakers. Deadline: Dec 15th. https://apol-recruit.ucsd.edu/JPF02978?fbclid=IwAR1PuS5O5ui0c5nB0HY9x3RRWhf05SlqtieeQlGcqOWgnKpBy4ago6Izy60","Assistant Professor (TT) - Unspecified","2021-2022"
"16","Central Connecticut State University (New Britain"," CT) - TT Assistant Professor of Spanish (Contemporary Latin American literature and culture - Priority for expertise in Central and South America","Assistant Professor (TT) - Literature","2021-2022"
"17","University of Oxford (Oxford"," UK) - Departmental Lecturer in Spanish and Portuguese Deadline: Dec 3rd. https://www.jobs.ac.uk/job/CKU720/departmental-lecturer-in-spanish-and-portuguese-linguistics","Assistant Professor (TT) - Linguistics","2021-2022"
"18","Mount St. Mary's University (Maryland) - Non TT - Assistant Professor of Latin American Literature and Spanish Language. Deadline: Open until filled. https://joblist.mla.org/job-details/5147/assistant-professor-of-latin-american-literature-and-spanish-language/?porder=Spanish#top-pagination",NA,"Other","2021-2022"
"19","Queens University of Charlotte (Charlotte"," NC) - TT (Open-rank) Professor of Spanish (Latin America). Deadline: January 15","Assistant Professor (TT) - Unspecified","2021-2022"
"20","University of Central Missouri (Warrensburg) - TT Assistant Professor of Spanish (Generalist). Deadline: Open until filled (review will begin immediately). https://jobs.ucmo.edu/postings/26247",NA,"Other","2021-2022"
"21","Nebraska Wesleyan University (Lincoln"," NE) - TT Assistant Professor of Spanish (Generalist/SLA). Deadline: Open until filled (Review of applications will begin immediately). https://nebrwesleyan.applicantpro.com/jobs/2078616.html","Assistant Professor (TT) - Unspecified","2021-2022"
"22","University of Arizona (Tucson"," AZ) - TT Assistant Professor of Hispanic Linguistics (SLA of Spanish morphosyntax). Deadline: December 1. https://arizona.csod.com/ux/ats/careersite/4/home/requisition/7031?c=arizona","Assistant Professor (TT) - Linguistics","2021-2022"
"23","LeMoyne College (Syracuse"," NY) - TT Assistant Professor of Spanish (Latin American and/or Caribbean Literature and Culture). Deadline: December 1. https://lemoyne.interviewexchange.com/jobofferdetails.jsp?JOBID=138269","Assistant Professor (TT) - Literature","2021-2022"
"24","University of Mississippi (Oxford"," MS) - TT Assistant Professor of Spanish Linguistics (Computational and/or Corpus Linguistics). Deadline: None given. https://careers.olemiss.edu/job/University-Assistant-Professor-of-Spanish-Linguistics-MS-38677/800509400/","Assistant Professor (TT) - Linguistics","2021-2022"
"25","Truman State University (Kirksville"," MO) - TT Assistant Professor of Spanish (Hispanic Linguistics). Deadline: December 3. https://secure.truman.edu/positionlisting-s/positiondetails.asp?positionId=4975","Assistant Professor (TT) - Linguistics","2021-2022"
"26","Mississippi State University (Starkville"," MS) - Assistant Professor of Spanish Linguistics (TT). Deadline: Open Until Filled. https://explore.msujobs.msstate.edu/en-us/job/503338/assistant-professor","Assistant Professor (TT) - Linguistics","2021-2022"
"27","University of Houston - Associate Professor Creative Writing in Spanish. Deadline"," Nov. 15 https://joblist.mla.org/employer-details/1865/university-of-houston-central_hispanic-studies-department/","Assistant Professor (TT) - Unspecified","2021-2022"
"28","Bucknell University (Lewisburg"," PA). Visiting Assistant Professor of Spanish. Latin American Cultures/Literatures. https://joblist.mla.org/job-details/5087/visiting-assistant-professor-of-spanish/?porder=Spanish&ix=5#top-pagination","VAP","2021-2022"
"29","University of North Florida (Jacksonville"," FL","Other","2021-2022"
"30","Jacksonville University (Jacksonville"," FL","Other","2021-2022"
"31","High Point University (North Carolina"," USA). Assistant Professor of Spanish (Non-TT). Latin American Literature and Culture. Deadline: November 10","Assistant Professor (TT) - Literature","2021-2022"
"32","Oklahoma State University (Oklahoma"," USA): Assistant Professor of Spanish with a specialization in Colonial Latin American literature (Tenure Track). Deadline: November 28","Assistant Professor (TT) - Literature","2021-2022"
"33","University of Oxford (Oxford"," United Kingdom). Departmental Lecturer in Spanish (2 posts","Lecturer","2021-2022"
"34","Ashland University (Ashland"," OH). Assistant Professor of Spanish (non-tenure) https://jobs.ashland.edu/postings/1246","Assistant Professor (TT) - Unspecified","2021-2022"
"35","Boston University (Boston"," MA). Associate or Full Professor of Spanish (tenured) with specialization in modern and contemporary Spanish literature and its transatlantic dimensions. Deadline: October 21st. https://academicjobsonline.org/ajo/jobs/19497","Assistant Professor (TT) - Literature","2021-2022"
"36","University of Nevada"," Las Vegas: Non-TT Assistant Professor-in-Residence in Spanish. Focus on Spanish for the Professions Courses. Deadline: November 1. https://joblist.mla.org/job-details/4615/assistant-professor-in-residence-spanish/?porder=Professor%2c+Assistant%7cSpanish&ix=5#top-pagination","Assistant Professor (TT) - Unspecified","2021-2022"
"37","University of Nevada"," Las Vegas: TT Assistant Professor of Spanish Translation. Deadline: November 1. https://joblist.mla.org/job-details/4546/assistant-professor-spanish-translation/?porder=Professor%2c+Assistant%7cSpanish&ix=13#top-pagination","Assistant Professor (TT) - Unspecified","2021-2022"
"38","Berea College (Berea"," KY): TT Assistant Professor of Spanish","Assistant Professor (TT) - Unspecified","2021-2022"
"39","Wesleyan University (Middletown"," CT): TT Assistant Professor of Spanish","Assistant Professor (TT) - Unspecified","2021-2022"
"40","Carleton College (Northfield"," MN): TT Assistant Professor of Spanish","Assistant Professor (TT) - Unspecified","2021-2022"
"41","Southern Utah University (Cedar City"," UT): TT Assistant Professor of Spanish","Assistant Professor (TT) - Unspecified","2021-2022"
"42","University of Rochester (Rochester"," NY): TT Assistant Professor of Spanish","Assistant Professor (TT) - Unspecified","2021-2022"
"43","Trinity College Dublin"," The University of Dublin (Dublin","Other","2021-2022"
"44","Claremont McKenna College (Claremont"," CA). Assistant Professor of Spanish. Deadline: November 1st","Assistant Professor (TT) - Unspecified","2021-2022"
"45","Baylor University: Modern Languages and Cultures (Waco"," TX): Assistant Professor ","Assistant Professor (TT) - Unspecified","2021-2022"
"46","Kenyon College (Gambier"," OH). Assistant Professor of Spanish (lit cult Mexico and Central America). Deadline: Oct 10th. https://careers.kenyon.edu/en-us/job/492767/assistant-professor-of-spanish","Assistant Professor (TT) - Unspecified","2021-2022"
"47","Cornell University (Ithaca"," NY). Assistant Professor or Associate Professor of Hispanic Studies (20th/early 21st century Latin American literature and culture). Deadline: Oct 31st. https://academicjobsonline.org/ajo/jobs/19359","Assistant Professor (TT) - Literature","2021-2022"
"48","Chapman University (Orange"," CA). Assistant Professor of Spanish Literature. Deadline: November 1st. https://web.chapman.edu/jobs/job.aspx?id=1225","Assistant Professor (TT) - Literature","2021-2022"
"49","The University of New Orleans (New Orleans"," LA). Assistant Professor of Spanish (20th and 21st Century Latin American literature and contemporary Spanish Peninsular literature). Deadline: Until post is filled. https://ulsuno.wd1.myworkdayjobs.com/en-US/UniversityOfNewOrleans/job/New-Orleans-La/Assistant-Professor-of-Spanish_R-000289","Assistant Professor (TT) - Literature","2021-2022"
"50","University of Puget Sound (Tacoma"," WA). Assistant Professor of Spanish with a specialization in Mexico","Assistant Professor (TT) - Unspecified","2021-2022"
"51","Rutgers University (New Brunswick"," NJ). Assistant Professor of Spanish Linguistics (Sociolinguistics) Deadline: November 11th https://jobs.rutgers.edu/postings/141655","Assistant Professor (TT) - Linguistics","2021-2022"
"52","University of California"," Irvine (Irvine","Other","2021-2022"
"53","California State University"," Fullerton (Fullerton","Other","2021-2022"
"54","John Jay College of Criminal Justice (New York City"," NY). Assistant Professor of Spanish—Specialist in Translation and Interpreting Deadline: December 1st https://cuny.jobs/new-york-ny/assistant-professor-of-spanishspecialist-in-translation-and-interpreting/80B09FD020224D0F95C1D8559B43EE65/job/","Assistant Professor (TT) - Unspecified","2021-2022"
"55","San José State University (San José"," CA). Assistant Professor of Spanish Translation & Interpretation. Deadline: October 30th https://jobs.sjsu.edu/en-us/job/504938/assistant-professor-of-spanish-translation-and-interpretation?lApplicationSubSourceID=11261","Assistant Professor (TT) - Unspecified","2021-2022"
"56","University of St Andrews (Scotland). Lecturer (Assistant Professor) in Latin American Studies. Deadline: December 21st. https://www.vacancies.st-andrews.ac.uk/ViewVacancyV2.aspx?enc=mEgrBL4XQK0+ld8aNkwYmEeQwp6u1UPLJbcPQhhYA7Gtepm3vUz9H8aH4tvQjnuQoqGtbennXxnmjPGU+7706gjMPtDnsfzcmlJKa5ouUwEmsxwIPTO3H/kzPK6QJTR0",NA,"Other","2021-2022"
"57","Wartburg College (Waverly"," IA). Assistant Professor of Spanish (open specialization). Deadline: until position is filled. https://joblist.mla.org/job-details/5477/assistant-professor-of-spanish/?porder=Spanish&ix=5#top-pagination","Assistant Professor (TT) - Unspecified","2021-2022"
"58","University of Edinburgh (UK). Lecturer/Senior Lecturer (Assistant/Associate Professor) in Lusophone Studies. Deadline: May 4th (be with you ;-)). https://elxw.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/3664?fbclid=IwAR1PndXEdmqfR1eQ1xt1hcnKlHrCETmE1iR09KyI0uz6ENGhpNTJglqd3TQ",NA,"Other","2021-2022"
"59","Taylor University"," Upland (Indiana). Visiting Professor. 1-2 years. Renewable contract. https://jobs.chronicle.com/job/474880/announcement-of-faculty-opening-in-spanish-department-of-english-and-modern-languages/","VAP","2021-2022"
